# [BinQ2] [BinPt] [BinXb] [BinAs] [Q2] [Pt] [Xb] [As]
1 1 2 0 2.94953 0.123751 0.262857 1.32508
1 1 2 1 2.94636 0.130569 0.262374 1.37363
1 1 2 2 2.95567 0.141982 0.262124 1.42301
1 1 2 3 3.1396 0.140455 0.26171 1.4663
1 1 2 4 3.07558 0.176959 0.254641 1.49911
1 1 2 5 0 0 0 0
1 1 3 0 2.94319 0.130423 0.287409 1.32386
1 1 3 1 2.99737 0.134631 0.286594 1.37207
1 1 3 2 3.12788 0.14307 0.285168 1.42151
1 1 3 3 3.35371 0.143209 0.282322 1.46327
1 1 3 4 0 0 0 0
1 1 3 5 0 0 0 0
1 1 4 0 2.97211 0.133834 0.312294 1.32391
1 1 4 1 3.14488 0.135445 0.309976 1.37425
1 1 4 2 3.34679 0.130115 0.30787 1.41564
1 1 4 3 0 0 0 0
1 1 4 4 0 0 0 0
1 1 4 5 0 0 0 0
1 1 5 0 3.07808 0.134354 0.336706 1.32031
1 1 5 1 3.29339 0.132345 0.333827 1.36193
1 1 5 2 3.4625 0.14625 0.3275 1.40125
1 1 5 3 0 0 0 0
1 1 5 4 0 0 0 0
1 1 5 5 0 0 0 0
2 0 0 0 3.56397 0.0619773 0.269273 1.32322
2 0 0 1 3.58118 0.0656414 0.270812 1.37207
2 0 0 2 3.53662 0.073793 0.264402 1.42194
2 0 0 3 3.54697 0.0750525 0.268308 1.4886
2 0 0 4 3.56379 0.0746552 0.267716 1.50651
2 0 0 5 0 0 0 0
2 0 1 0 3.67343 0.0658397 0.287682 1.32082
2 0 1 1 3.69738 0.0656215 0.288689 1.36842
2 0 1 2 3.66949 0.0625411 0.289214 1.4254
2 0 1 3 3.74186 0.0665172 0.288468 1.46499
2 0 1 4 3.67272 0.0780921 0.274204 1.49855
2 0 1 5 0 0 0 0
2 0 2 0 3.87704 0.0669229 0.312772 1.32313
2 0 2 1 3.88325 0.0648865 0.313021 1.37425
2 0 2 2 3.81348 0.0584382 0.311172 1.42204
2 0 2 3 4.07036 0.0509551 0.309551 1.45964
2 0 2 4 0 0 0 0
2 0 2 5 0 0 0 0
2 0 3 0 4.00397 0.0612498 0.337183 1.32514
2 0 3 1 4.06436 0.0599093 0.338835 1.37347
2 0 3 2 4.10956 0.0669018 0.336041 1.41672
2 0 3 3 4.39722 0.0669444 0.32875 1.45375
2 0 3 4 0 0 0 0
2 0 3 5 0 0 0 0
2 0 4 0 4.14721 0.0621242 0.36232 1.32587
2 0 4 1 4.34197 0.0612704 0.360111 1.37023
2 0 4 2 4.59667 0.0582461 0.362284 1.40447
2 0 4 3 0 0 0 0
2 0 4 4 0 0 0 0
2 0 4 5 0 0 0 0
2 0 5 0 4.4832 0.0585985 0.386653 1.32355
2 0 5 1 4.73764 0.0573696 0.38613 1.36934
2 0 5 2 5 0.0619444 0.378542 1.40292
2 0 5 3 0 0 0 0
2 0 5 4 0 0 0 0
2 0 5 5 0 0 0 0
2 1 0 0 3.56405 0.1218 0.270409 1.32425
2 1 0 1 3.55222 0.122626 0.270181 1.36031
2 1 0 2 3.62434 0.130136 0.271513 1.42343
2 1 0 3 3.64061 0.158242 0.272239 1.49168
2 1 0 4 3.57037 0.143148 0.267778 1.50625
2 1 0 5 0 0 0 0
2 1 1 0 3.70348 0.121069 0.29003 1.32474
2 1 1 1 3.67619 0.124991 0.288899 1.37234
2 1 1 2 3.64436 0.134574 0.2888 1.42104
2 1 1 3 3.72915 0.147322 0.287216 1.47215
2 1 1 4 3.68333 0.146667 0.275625 1.50125
2 1 1 5 0 0 0 0
2 1 2 0 3.83177 0.121189 0.313164 1.32662
2 1 2 1 3.83577 0.131846 0.312713 1.37338
2 1 2 2 3.82184 0.140961 0.313644 1.41862
2 1 2 3 3.86442 0.138103 0.307485 1.45751
2 1 2 4 0 0 0 0
2 1 2 5 0 0 0 0
2 1 3 0 4.02083 0.126896 0.338375 1.32409
2 1 3 1 4.02889 0.132395 0.337094 1.37475
2 1 3 2 4.24341 0.140353 0.337119 1.41212
2 1 3 3 4.34375 0.148125 0.327813 1.45375
2 1 3 4 0 0 0 0
2 1 3 5 0 0 0 0
2 1 4 0 4.18164 0.129334 0.363081 1.32304
2 1 4 1 4.25357 0.133174 0.361409 1.36733
2 1 4 2 4.58993 0.205766 0.34689 1.41402
2 1 4 3 0 0 0 0
2 1 4 4 0 0 0 0
2 1 4 5 0 0 0 0
2 1 5 0 4.33907 0.130068 0.386885 1.32296
2 1 5 1 4.80914 0.130468 0.386022 1.36409
2 1 5 2 5.04038 0.131346 0.378798 1.40356
2 1 5 3 0 0 0 0
2 1 5 4 0 0 0 0
2 1 5 5 0 0 0 0
