# [BinQ2] [BinPt] [BinXb] [BinAs] [Q2] [Pt] [Xb] [As]
1 1 2 1 2.93589 0.133292 0.261886 1.37497
1 1 2 2 2.95779 0.140407 0.261742 1.42292
1 1 2 3 3.09614 0.148294 0.260377 1.46901
1 1 2 4 3.28661 0.143817 0.255981 1.50884
1 1 2 5 0 0 0 0
1 1 3 0 2.95927 0.12641 0.287338 1.32466
1 1 3 1 2.97325 0.13633 0.28707 1.37345
1 1 3 2 3.10241 0.141908 0.285652 1.41949
1 1 3 3 3.29809 0.148505 0.280905 1.46096
1 1 3 4 0 0 0 0
1 1 3 5 0 0 0 0
1 1 4 0 2.9562 0.131401 0.3117 1.32422
1 1 4 1 3.05572 0.139137 0.310106 1.37009
1 1 4 2 3.28658 0.142858 0.307776 1.41181
1 1 4 3 0 0 0 0
1 1 4 4 0 0 0 0
1 1 4 5 0 0 0 0
1 1 5 0 3.04242 0.132802 0.335821 1.32104
1 1 5 1 3.27636 0.143183 0.33423 1.36419
1 1 5 2 3.41859 0.167994 0.327658 1.40332
1 1 5 3 0 0 0 0
1 1 5 4 0 0 0 0
1 1 5 5 0 0 0 0
2 0 0 0 3.57599 0.0676564 0.26964 1.32381
2 0 0 1 3.57566 0.0666498 0.270339 1.37366
2 0 0 2 3.57592 0.0701134 0.269545 1.42511
2 0 0 3 3.57418 0.0677755 0.268319 1.47805
2 0 0 4 3.55752 0.0965922 0.263508 1.50603
2 0 0 5 0 0 0 0
2 0 1 0 3.69694 0.063134 0.288648 1.32268
2 0 1 1 3.69489 0.0631693 0.288385 1.37289
2 0 1 2 3.70525 0.0654653 0.289255 1.42375
2 0 1 3 3.69579 0.0705918 0.2873 1.46627
2 0 1 4 3.57659 0.0340928 0.277933 1.50462
2 0 1 5 0 0 0 0
2 0 2 0 3.86844 0.0629998 0.312972 1.32154
2 0 2 1 3.82981 0.0612127 0.312467 1.3719
2 0 2 2 3.84482 0.0615205 0.311731 1.4222
2 0 2 3 4.01667 0.0679659 0.309335 1.4609
2 0 2 4 0 0 0 0
2 0 2 5 0 0 0 0
2 0 3 0 4.0127 0.0614877 0.337084 1.32277
2 0 3 1 3.99208 0.0605878 0.337287 1.37301
2 0 3 2 4.16885 0.0637482 0.335229 1.41543
2 0 3 3 4.34146 0.0410547 0.325432 1.45608
2 0 3 4 0 0 0 0
2 0 3 5 0 0 0 0
2 0 4 0 4.15315 0.0570574 0.36185 1.32274
2 0 4 1 4.28993 0.0618369 0.361005 1.36856
2 0 4 2 4.55492 0.0580188 0.35876 1.41052
2 0 4 3 0 0 0 0
2 0 4 4 0 0 0 0
2 0 4 5 0 0 0 0
2 0 5 0 4.35922 0.0579803 0.386425 1.32016
2 0 5 1 4.718 0.0562923 0.385194 1.36694
2 0 5 2 5.01147 0.0574247 0.383434 1.40741
2 0 5 3 0 0 0 0
2 0 5 4 0 0 0 0
2 0 5 5 0 0 0 0
2 1 0 0 3.56741 0.117725 0.269299 1.32563
2 1 0 1 3.56278 0.125386 0.269544 1.37378
2 1 0 2 3.56764 0.13723 0.268856 1.42043
2 1 0 3 3.56968 0.137721 0.269177 1.47372
2 1 0 4 3.55328 0.121533 0.267883 1.50807
2 1 0 5 0 0 0 0
2 1 1 0 3.69544 0.11902 0.28841 1.32553
2 1 1 1 3.69603 0.126668 0.288829 1.37357
2 1 1 2 3.70431 0.13925 0.288414 1.42329
2 1 1 3 3.71684 0.143684 0.286656 1.4681
2 1 1 4 3.69559 0.130771 0.278757 1.50082
2 1 1 5 0 0 0 0
2 1 2 0 3.8349 0.121397 0.312684 1.32496
2 1 2 1 3.84026 0.130079 0.313438 1.37485
2 1 2 2 3.84822 0.138895 0.311873 1.42158
2 1 2 3 3.95997 0.134659 0.307501 1.45966
2 1 2 4 0 0 0 0
2 1 2 5 0 0 0 0
2 1 3 0 3.95965 0.124237 0.337195 1.32252
2 1 3 1 3.99307 0.132114 0.337169 1.37401
2 1 3 2 4.18865 0.139443 0.336423 1.41675
2 1 3 3 4.41936 0.120679 0.326887 1.45683
2 1 3 4 0 0 0 0
2 1 3 5 0 0 0 0
2 1 4 0 4.11492 0.12641 0.362374 1.32287
2 1 4 1 4.2369 0.13502 0.360592 1.36972
2 1 4 2 4.54982 0.143822 0.358394 1.41
2 1 4 3 0 0 0 0
2 1 4 4 0 0 0 0
2 1 4 5 0 0 0 0
2 1 5 0 4.35479 0.12613 0.386328 1.32199
2 1 5 1 4.75296 0.13086 0.38639 1.36875
2 1 5 2 5.01938 0.147088 0.38704 1.40589
2 1 5 3 0 0 0 0
2 1 5 4 0 0 0 0
2 1 5 5 0 0 0 0
